Episode,Reward,Steps,Exploration Rate
123,232.0,25596,0.9936214292044158
124,237.0,25636,0.9936114930385612
125,228.0,25675,0.9936018053725192
126,796.0,27053,0.9932595684614348
127,1166.0,28122,0.9929941552759666
128,634.0,28222,0.9929693307292872
129,227.0,28263,0.9929591528445357
130,585.0,28402,0.9929246481091795
131,235.0,28441,0.9929149671398438
132,228.0,28482,0.9929047898123159
133,242.0,28520,0.992895357260437
134,239.0,28557,0.9928861730197102
135,2307.0,29084,0.9927553688669588
136,616.0,29224,0.9927206230327559
137,249.0,29255,0.9927129294767773
138,238.0,29290,0.9927042432755596
139,814.0,29435,0.9926682583944677
140,936.0,30111,0.9925005116128095
141,715.0,30260,0.9924635416526955
142,609.0,30334,0.9924451812447115
143,1220.0,31033,0.9922717665801353
144,236.0,31073,0.9922618439108413
145,628.0,31949,0.9920445623330338
146,1496.0,32483,0.991912133207231
147,621.0,32576,0.9918890715153412
148,596.0,32724,0.9918523722940426
149,786.0,33014,0.9917804655947018
150,1181.0,33990,0.9915385006517404
151,228.0,34033,0.9915278416688167
152,228.0,34075,0.9915174306798341
153,623.0,34162,0.9914958654075414
154,630.0,34260,0.9914715740533695
155,622.0,34375,0.9914430696518013
156,625.0,35184,0.9912425705420298
157,630.0,35273,0.9912205156374367
158,218.0,35314,0.9912103556779482
159,239.0,35352,0.9912009392231172
160,217.0,35393,0.9911907794642862
161,639.0,35536,0.991155345022881
162,589.0,35711,0.9911119829196626
163,757.0,35969,0.9910480582503572
164,1111.0,37742,0.9906088734850927
165,612.0,37828,0.9905875756206006
166,576.0,37992,0.9905469623574955
167,709.0,38210,0.990492979012351
168,938.0,38871,0.9903293135503187
169,232.0,38908,0.9903201530453898
170,651.0,38988,0.9903003468379133
171,788.0,39268,0.9902310282311397
172,731.0,39832,0.9900914154816186
173,636.0,40336,0.9899666718066733
174,236.0,40373,0.989957514656165
175,882.0,41313,0.9897249019441756
176,635.0,41475,0.9896848188923183
177,249.0,41508,0.9896766540252206
178,740.0,41751,0.9896165329871605
179,901.0,42613,0.9894032935749856
180,607.0,42714,0.9893783114540967
181,639.0,42794,0.989358524083266
182,733.0,43050,0.9892952071559645
183,233.0,43089,0.9892855615735101
184,1336.0,43299,0.9892336254383635
185,619.0,43396,0.9892096368108079
186,1028.0,43606,0.9891577046616075
187,919.0,44481,0.9889413500512862
188,627.0,45566,0.9886731360546891
189,236.0,45599,0.9886649795339416
190,613.0,45678,0.9886454535909716
191,466.0,47304,0.9882436508357498
192,247.0,47336,0.9882357449171775
193,703.0,47790,0.9881235865112035
194,807.0,47974,0.988078133865955
195,903.0,48865,0.9878580639452939
196,249.0,48896,0.9878504080740068
197,650.0,48982,0.9878291695158907
198,635.0,49143,0.9877894101870041
199,604.0,49243,0.9877647157573408
200,238.0,49281,0.9877553320359397
201,779.0,49604,0.987675574003171
202,251.0,49638,0.9876671787954198
203,1260.0,50102,0.9875526160331148
204,638.0,50249,0.9875163241368017
205,646.0,50953,0.9873425365357635
206,662.0,51729,0.9871510106383211
207,594.0,51836,0.9871246046986631
208,619.0,51946,0.9870974591418901
209,801.0,52157,0.9870453911177107
210,248.0,52189,0.987037494785179
211,787.0,53600,0.9866893786679194
212,1289.0,54487,0.9864706045283015
213,1306.0,54843,0.9863828125403136
214,776.0,55181,0.9862994667036351
215,244.0,55212,0.9862918229114314
216,628.0,55289,0.9862728369742046
217,798.0,55517,0.9862166210176324
